Title,Price,Link,Image Link
iPhone 14 128 GB Unlocked,$355.00,https://www.ebay.com/itm/267118227463,https://i.ebayimg.com/images/g/H3sAAOSwoyhnUSrQ/s-l500.jpg
Pre owned Apple iPhone 14 Plus - 128 GB - Lavender (Unlocked),$351.85,https://www.ebay.com/itm/226532435627,https://i.ebayimg.com/images/g/EWgAAOSwOz9nOgko/s-l500.jpg
Apple iPhone 14 Plus - 128 GB - Silver (Unlocked),$350.00,https://www.ebay.com/itm/396108687757,https://i.ebayimg.com/images/g/EcgAAOSw80lnf9S3/s-l140.jpg
iPhone 14,$350.00,https://www.ebay.com/itm/176784387410,https://i.ebayimg.com/images/g/UNEAAOSwIqRngdvo/s-l140.jpg
Apple iPhone 14 Plus - 128 GB - White  (Unlocked) ,$350.00,https://www.ebay.com/itm/387799061023,https://i.ebayimg.com/images/g/vVMAAOSwYLxnfEsS/s-l140.jpg
iphone 14,$380.00,https://www.ebay.com/itm/286261133050,https://i.ebayimg.com/images/g/iu8AAOSwgalnhB61/s-l140.jpg
Apple iPhone 14 128GB  Starlight Unlocked  in great condition,$359.96,https://www.ebay.com/itm/116438787393,https://i.ebayimg.com/images/g/bfEAAOSwfaFne8wO/s-l140.jpg
UNLOCKED iPhone 14 Red 128 GB VIEW ALL PHOTOS,$250.00,https://www.ebay.com/itm/405468613736,https://i.ebayimg.com/images/g/ooYAAOSwxyNngKM~/s-l140.jpg
Apple iPhone 14 - 128 GB - Blue (Unlocked),$242.30,https://www.ebay.com/itm/186888884363,https://i.ebayimg.com/images/g/jXAAAOSwOFBnfe4S/s-l140.jpg
"iPhone 14 , Starlight, 128g Unlock Look very Good Cond.",$353.00,https://www.ebay.com/itm/176774689456,https://i.ebayimg.com/images/g/riwAAOSwG8dnez5o/s-l140.jpg
iPhone 14,$315.00,https://www.ebay.com/itm/316109006007,https://i.ebayimg.com/images/g/834AAOSwlCNnez7y/s-l140.jpg
Apple iPhone 14 MPUN3LL/A 128GB White Starlight Factory Unlocked EXCELLENT!!,$319.99,https://www.ebay.com/itm/226540924742,https://i.ebayimg.com/images/g/TesAAOSwBRtnhAhX/s-l140.jpg
iPhone 14 Plus 128gb unlocked ,$262.34,https://www.ebay.com/itm/205215135329,https://i.ebayimg.com/images/g/AFkAAOSwD6Fneu93/s-l140.jpg
Apple iPhone 14 - 128GB - Midnight (Unlocked) 89% Battery Health,$378.26,https://www.ebay.com/itm/286259598174,https://i.ebayimg.com/images/g/mnEAAOSwWodngr3O/s-l140.jpg
iphone 14 plus 256gb unlocked,$400.00,https://www.ebay.com/itm/365325025723,https://i.ebayimg.com/images/g/Mg0AAOSw-KtnZflh/s-l140.jpg
Apple iPhone 14 - 128 GB - Starlight (Unlocked),$340.00,https://www.ebay.com/itm/296925022505,https://i.ebayimg.com/images/g/MawAAOSw~B5neqZT/s-l140.jpg
Apple iPhone 14 - 128 GB - Purple/Lilac (Unlocked),$366.00,https://www.ebay.com/itm/146319160284,https://i.ebayimg.com/images/g/iOEAAOSwjOVnfK5u/s-l140.jpg
Apple iPhone 14 Blue 128 GB -UNLOCKED - USED- Battery Health 91%,$371.00,https://www.ebay.com/itm/196929494949,https://i.ebayimg.com/images/g/WIcAAOSwqplnefBm/s-l140.jpg
iPhone 14 GSM Unlocked Purple 128GB,$310.10,https://www.ebay.com/itm/146315660081,https://i.ebayimg.com/images/g/b80AAOSwhPxnX29D/s-l140.jpg
Apple iPhone 14 - 128 GB - Purple (Unlocked),$331.00,https://www.ebay.com/itm/286254888174,https://i.ebayimg.com/images/g/aj8AAOSwIA9nfxLX/s-l140.jpg
***Apple IPhone 14***,$310.00,https://www.ebay.com/itm/316117828383,https://i.ebayimg.com/images/g/m3gAAOSwPotnfzc-/s-l140.jpg
iPhone 14 128Gb Blue Unlocked,$370.00,https://www.ebay.com/itm/396116896687,https://i.ebayimg.com/images/g/edsAAOSwln5ngsIf/s-l140.jpg
iPhone 14 128GB Light Blue,$340.00,https://www.ebay.com/itm/286251499553,https://i.ebayimg.com/images/g/lnQAAOSwTs9nfGxJ/s-l140.jpg
Apple iPhone 14 Plus - 128 GB - Light Blue - Good Condition👌🏼,$275.00,https://www.ebay.com/itm/116440944845,https://i.ebayimg.com/images/g/k80AAOSwVOBnT8eq/s-l140.jpg
